2026-04-18 12:18:44,534 | INFO | === Drawing Extraction Started ===
2026-04-18 12:18:44,535 | INFO | Source: E:\BRIDGE DESIGN
2026-04-18 12:18:44,535 | INFO | Target: C:\Filtered_Drawings
2026-04-18 12:18:46,203 | INFO | COPIED: E:\BRIDGE DESIGN\111RETAINING WALL RCC.dxf \u2192 C:\Filtered_Drawings\111RETAINING WALL RCC.dxf
2026-04-18 12:18:46,388 | INFO | COPIED: E:\BRIDGE DESIGN\111RETAINING WALL RCC_1_1_3698.sv$.dxf \u2192 C:\Filtered_Drawings\111RETAINING WALL RCC_1_1_3698.sv$.dxf
2026-04-18 12:18:47,887 | INFO | COPIED: E:\BRIDGE DESIGN\2004RETAINING WALL RCC.dxf \u2192 C:\Filtered_Drawings\2004RETAINING WALL RCC.dxf
2026-04-18 12:18:48,455 | INFO | COPIED: E:\BRIDGE DESIGN\An overview of integral abutments.pdf \u2192 C:\Filtered_Drawings\An overview of integral abutments.pdf
2026-04-18 12:18:48,455 | INFO | Scanning archive: E:\BRIDGE DESIGN\bRIDGE tENDER vID drawings sandhu sab.zip
2026-04-18 12:18:48,775 | INFO | EXTRACTED from ZIP: E:\BRIDGE DESIGN\bRIDGE tENDER vID drawings sandhu sab.zip/KHATAKORI-EPC-2021-22-final.pdf \u2192 C:\Filtered_Drawings\bRIDGE tENDER vID drawings sandhu sab\KHATAKORI-EPC-2021-22-final.pdf
2026-04-18 12:18:49,038 | INFO | EXTRACTED from ZIP: E:\BRIDGE DESIGN\bRIDGE tENDER vID drawings sandhu sab.zip/DRAWING-KHATA-KHEDI.pdf \u2192 C:\Filtered_Drawings\bRIDGE tENDER vID drawings sandhu sab\DRAWING-KHATA-KHEDI.pdf
2026-04-18 12:18:49,086 | INFO | SKIPPED (not drawing): E:\BRIDGE DESIGN\design-of-high-level-bridge-10 M SLAB.pdf
2026-04-18 12:18:49,107 | INFO | COPIED: E:\BRIDGE DESIGN\details of guard stone.pdf \u2192 C:\Filtered_Drawings\details of guard stone.pdf
2026-04-18 12:18:49,140 | INFO | COPIED: E:\BRIDGE DESIGN\Discharge Assesment for Bridges.pdf \u2192 C:\Filtered_Drawings\Discharge Assesment for Bridges.pdf
2026-04-18 12:18:49,309 | INFO | COPIED: E:\BRIDGE DESIGN\DRAWING RETAINING WALL 10 M.dwg \u2192 C:\Filtered_Drawings\DRAWING RETAINING WALL 10 M.dwg
2026-04-18 12:18:49,461 | INFO | SKIPPED (not drawing): E:\BRIDGE DESIGN\DRAWING RETAINING WALL 10 M_Model_2.bmp
2026-04-18 12:18:49,584 | INFO | COPIED: E:\BRIDGE DESIGN\DRAWING RETAINING WALL PRESENTABLE.dwg \u2192 C:\Filtered_Drawings\DRAWING RETAINING WALL PRESENTABLE.dwg
2026-04-18 12:18:49,708 | INFO | SKIPPED (not drawing): E:\BRIDGE DESIGN\DRAWING RETAINING WALL PRESENTABLE_Model.bmp
2026-04-18 12:18:49,765 | INFO | SKIPPED (not drawing): E:\BRIDGE DESIGN\Grillage_Model_Analysis_of_Bridge_Deck-Girder_Superstructure_by_ASTRA_Pro.pdf
2026-04-18 12:18:49,779 | INFO | SKIPPED (not drawing): E:\BRIDGE DESIGN\kds.pdf
2026-04-18 12:18:49,987 | INFO | COPIED: E:\BRIDGE DESIGN\RETAINING WALL 10 M.dwg \u2192 C:\Filtered_Drawings\RETAINING WALL 10 M.dwg
2026-04-18 12:18:50,151 | INFO | COPIED: E:\BRIDGE DESIGN\RETAINING WALL 7 M.dwg \u2192 C:\Filtered_Drawings\RETAINING WALL 7 M.dwg
2026-04-18 12:18:50,189 | INFO | SKIPPED (not drawing): E:\BRIDGE DESIGN\Retaining Walls - Optimal Design.pdf
2026-04-18 12:18:50,355 | INFO | COPIED: E:\BRIDGE DESIGN\RETAINING WALLS DOCTOR 01.dwg \u2192 C:\Filtered_Drawings\RETAINING WALLS DOCTOR 01.dwg
2026-04-18 12:18:50,431 | INFO | COPIED: E:\BRIDGE DESIGN\STANDARD PLANS HIGHWAY RCC SLAB SUPER STRUICTURES.PDF \u2192 C:\Filtered_Drawings\STANDARD PLANS HIGHWAY RCC SLAB SUPER STRUICTURES.PDF
2026-04-18 12:18:50,634 | INFO | COPIED: E:\BRIDGE DESIGN\standard-drawings-for-road-bridges-r-c-c-solid-slab-superstructure-225-skew-r-e-span-4m-to_compress.pdf \u2192 C:\Filtered_Drawings\standard-drawings-for-road-bridges-r-c-c-solid-slab-superstructure-225-skew-r-e-span-4m-to_compress.pdf
2026-04-18 12:18:50,738 | INFO | COPIED: E:\BRIDGE DESIGN\STUDY IN BRIDGE UPDATION.pdf \u2192 C:\Filtered_Drawings\STUDY IN BRIDGE UPDATION.pdf
2026-04-18 12:18:50,840 | INFO | COPIED: E:\BRIDGE DESIGN\Wing wall 01.pdf \u2192 C:\Filtered_Drawings\Wing wall 01.pdf
2026-04-18 12:18:50,903 | INFO | COPIED: E:\BRIDGE DESIGN\Wing wall 02.pdf \u2192 C:\Filtered_Drawings\Wing wall 02.pdf
2026-04-18 12:18:51,316 | INFO | COPIED: E:\BRIDGE DESIGN\0 DOWEL BARS IN CC PAVEMENT\02 M S STANDARD PLANS LIST.pdf \u2192 C:\Filtered_Drawings\0 DOWEL BARS IN CC PAVEMENT\02 M S STANDARD PLANS LIST.pdf
